Unnamed: 0,tweet,target
3185,I can’t Take it ????    pic.twitter.com/vXqNH9NjH6,1
2498,"Thank you, @realDonaldTrump, for using the Afghanistan policy of #44... he was pretty smart! \n\nP.S. Do not look directly at the sun! #bad",0
1265,"Some days the  settles in the soul. The eyes don't twinkle, the lips forget to  and the  sinks.",0
950,@rachcolours But smiling 😄☔️,0
2418,I feel bad no money for gifts for anyone I pay my bills money is gone   ,0
881,Is today YOUR day?  to choose happiness + success over  + failure  pic.twitter.com/jp1pghgs8H,0
308,What do we expect from a system where health care and education are among the most profitable commercial businesses?!,0
379,Hello darkness my old friend  I've come to talk with you again...,1
2345,Jus when something makes you happy it fucking puts you right back in your place ,1
2671,"how are you my love? @Hashtag_DonJon love youu!! thanks for the smile, that motivates me to keep going!! 💛 so blessed to have you 😊",0
1489,????? ?? ???? ?? ?? ??? ????? ??? ??..!,0
319,Timmy said I changed  I'm depressed eboy now,0
2847,@LDN_Muscle a #bright and early session this morning before work! #fullbody #ldnmladies surprised that it actually helped reduce my #doms,0
2026,Feeling #adorable in my WalMart pajamas. #JenniMiller #JenniMiller29 #louiselinton,0
748,just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell ,0
762,A  () happens when a person has at least two weeks of  mood.,0
2829,"“As social creatures we need to make social connections... nowadays we don’t band together to hunt for food. We need adequately maintained friendships to ward off , which can lead to depression, immune system disorders, disease-causing inflammation”.  pic.twitter.com/XPnlrQCyHH",0
1689,I don't want this year to be over ,1
2932,I DONT wanna cry or feel sorry for myself. Its just so hard sometimes watching your sick son in the hospital day after day.  ,1
1789,New year's eve is so sad to me because it's when my most beloved band split up.    ???–,0
2643,Smile because you have the promise of tomorrow and the next day and the next day ..endless possibilities ! #focus #live #happiness,0
1805,Difficult roads often lead to Beautiful destinations! #keepgoing #keeppushing #startsomewhere #key #start,0
2271,hate tan lines but refuse to tan at a salon anymore. 🙄 ,0
766,Tue blues,0
216,Can we stop complaining about  until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,0
2990,As a child I was scared of monsters beneath the bed. Now that I'm older I realize the monster Is me.   ,1
874,It takes less #muscles to #laugh than to #frown - stops facial &amp; mental aging too! Laugh strongly &amp; often to #lead effectively! #leadership,0
752,You was born with a purpose to help make the world a better place not to sit and do nothing!!! - @Balrsclub #Motivation #LoveIsland #fear ✨,0
2583,Not in the spirit of  . In fact,0
1635,very depressed rn... just got done crying my eyes out again:/ but feeling very masculine rn...    pic.twitter.com/nLb1sEozuU,1
1178,"That moment your mom buys you a Phone, (._.) and she buys the exact phone you told her not to buy.   I hate ",0
3168,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ?ƒ¦  ",0
2564,Sometimes i just want to be alone......... Forever  ,1
2248,@BroxtonDaniel I love you more than anything. I'm so glad we're able to make each other so infinitely happy😊,0
2787,just watch a revenge movie or write it down in a journal and let it all out,0
1604,The worst part of my life is...  Taking down the Christmas Decorations...I am now,0
1012,"Lawdy how come only people that wanna help a  person are the 1st ones to say shit like: ""Smile! You're prettier when you smile!""",0
161,The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,0
1843,137  ???????????????????????????????????????????????????????????w   ????????????????????????????????????????????????ww   ???????????????????????????????????????????????????????????   ???????????????????????????????????????????????????????????????w   ???????????????????????   ??????????????????w,0
1476,"we all think about it, some more than others \n\n#death #sad #depressed #suicide",1
466,"To recreate my romantic memories, I'd just put a chip on my shoulder  #masterchefau",0
2245,feeling like a grim reaper all day hehehe\n9 days pa 🎩✉️,0
781,"Longing to see Your face, Christ Jesus, I rejoice in the anticipation of Your coming again!",0
1403,Chiropractor time  #crackle #pop #chiropractor,0
2290,That moment you miss someone and hurting over the memories and when you got a crush and looked like an idiot going to his dad for his number cause you don't know how to talk to him and looked like a bigger idiot asking to be good friends,1
921,Might as well just sleep  ???¥,1
1960,â™?Drone Bomb Me - ANOHNI   ,0
860,When you ask for a triple chocolate melt down and the waiter tells you no...  ,0
198,That moment when your depression kicks in even more....,1
72,"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid",0
2319,Coming up on snap chat so add me asap MATEO_BKNY #snapchat,0
1349,"Hate having , feels like I'm on an out of control roller coaster! ???­ Keep being told 'snap out of it' - If only it was that easy!",1
851,"Feeling really down today, guys ?? not posting much but my dms are open if anyone wants to chat.  ",1
394,LibertySeeds: realDonaldTrump LizCrokin Great #start for #MAGA ...,0
2558,If I ever got paid to be in impractical jokers as one of the people to tell the guys what to do I would do that in a heartbeat #hilarious,0
739,I was at the beach today. Beautiful beach. Beautiful sand. The sea is great. Don't like jelly fish though.  #messageinabottle,0
320,11:05 on a Saturday and im home alone watching Eragon.  ,0
1504,Missing you this Christmas    pic.twitter.com/QfzTBKqHpz,1
1523,"Instead of asking #blessing from GOD the Father, remain #engaged on #pilgrimage of remembrance. Never get #tired on spiritual pilgrimage.",0
2711,Jay Z came out of retirement just to drop the album of the year on y'all...let that sink in. Have a great day y'all 🙌🏿,0
1873,The person who tries to keep everyone happy often end up feeling the loneliest????????    pic.twitter.com/bycoisYJ9A,0
710,2016 was the best year so far   ,0
2561,We will never again give back to violent men   This was a great song to hear live ??™Œ??�½,0
1852,Let me ask you a question:\n\nDid you REALLY just let #worry be your first response?\n\n#blink #breathe #startover #getchafaithup,0
910,"Starting to feel better but still probably take me a couple more days to get better as  moods do not go overnight, it sure as heck take some time.",1
3102,For those who struggle w/ they need those of us who are . And when the hopeful struggle we need to find our way back...,0
3017,This whole depression fucking sucks you can look so happy but still be so down inside your head ????????????????????????,1
662,@PaulCalafiore_ Absolutely ! Happy blessed Tuesday ❤️,0
223,Been spoilt even got a Kylie lip kit 😆,0
2465,"If u r , u r living n the past. If u r anxious, u r living n the future. If u r @ peace, u r living n the present-Lao Tzu ",0
2224,â™?Why Did You Separate Me from the Earth? - ANOHNI   ,0
2453,Just enjoyed a delicious salad drenched in Theon Nectar's Greek Extra Virgin Olive Oil  – absolutely DELICIOUS!! Mmmmm! #yummy #healthy,0
1700,Today is your day... \nSoar your spirit. \nUnfurl your joy!\nWishing you all a bright week!\n #BloodyCrayonsSpecialScreening,0
2505,Just watched The Hobbit The Battle of The Five Armies... I am weak... so so so damn weak... :'(  ... ,0
2732,"Jesus I love it when people say ""don't be such a d-buzz just be happier"". Omg I never thought of that! Hey a cure   pic.twitter.com/vXagPPBCKH",0
2585,"THIS IS  TRYING TO  ME DOWN...DEPRIVING ME OF MY PEACE AND MY SLEEP. THE MISCHIEVOUS ELF REPRESENTS THE REMINDER OF MY , THE DISCOMFORT THE BOY IS EXPERIENCING REPRESENTS HOW MY PAIN IS CONSTANT AND SHARP...I DON'T EXIST TO ANYONE ON TWITTER OR ANYWHERE.????  pic.twitter.com/IrVVVMNkMO",1
2812,I miss my friends so badly 😢,1
160,Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,0
573,Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,1
741,My Worse Fear About This Whole Thing Has Cane True.???” ,1
2137,when u want bae to be bae but he caps ur relationship at fam,1
2296,#happy #birthday #day trip #great day #super nice weather #blue sky #good mood #fun #love #ice cream #lycklig #födelsedag #öland,0
2125,﻿Mummy came home and ordered pizza even though there's food in the fridge. I ain't fighting the hypocrisy this time #jalepenos #pine #chicken,0
1923,Missing San Francisco bit my sister is helping a bit to make me forget about it. ,0
924,"being an entrepreneur at 18 is a real blessing 🙏🏼 the flexibility, doing what you love, and being the one in charge is #great #blessed",0
1612,"Making me so happy that I forget to be  ,   and   . Thank you, baby ????",1
2738,One week on SW and going to gym. Smashed it #weekone  #goals #sw,0
523,"Humble yourself in the sight of the LORD. If we have died in Christ, then how can we be offended? A dead person cannot feel anything, right?",0
633,.  I really don't want to interact with anyone in person  today.,1
2255,@AnteHarper I always preferred the quiver,0
157,I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,0
2801,"depression is real. if you're feeling , talk to somebody. talk to me. im all ears. it helps.",0
2232,"Being so fucking composed all the time is getting tiring, I need to have a mental breakdown at some point   ",1
1306,nothing happened to make me sad but i almost burst into tears like 3 times today¿,1
640,this year started off horrible and ended great. a lot can happen in a year.. ,0
1582,Believing in yourself is key in attaining what you want in your life. #start believing in yourself,0
553,"As the days draw near to the end, I feel as though I'm suffocating and losing a piece of me. It never should've come to this... ",1
207,@PrisonPlanet @DonaldJTrumpJr I read they pissed in Trump's bed 😀,0
2081,"@Kiranansi Phew, good. As much as I like adorable cats and dogs, your snek always makes me smile.",0
2089,I hate new year  .___.    ,0
3191,At least @LewisHamilton not turning up is not the most outrageous thing at #F1Live #Kaiserchiefs ,0
2753,If Only he loved Enuff to make me feel happy,0
2363,"@HillF1 @SilverstoneUK I'm coming on Saturday for Qually and the race on Sunday, can't wait 😊 #excitement #needalewiscap",0
2569,So good to see @richie_porte smiling and feeling positive from his hospital bed on #sbstdf tonight. Get well soon!!,0
484,Well after inviting everyone... No one is coming.... ,1
165,When you're saving loads of money not drinking so you start buying ALL THE THINGS #sobergirlproblems  #sobriety,0
634,Breakdown of  systems due to economic opportunities has increased  among  pic.twitter.com/MyLVE432ow,0
500,Absolutely love @unqualified but can't listen to it during my commute on the subway because I burst out laughing and people stare!,0
1020,"How can someone be happy at xmas, when you can't be with the ones you love?   ",1
1323,Michelle O was clearly referring to life where she pays for her own vacations and doesn't have servants at her beck and call ,0
627,"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â€” feeling depressed",1
2892,@jaimitoelcrack7 Seriously...I've been sitting here for five minutes watching this in awe. It never gets less amazing.,0
3129,I'm honestly really sad it's not snowing here  ,0
2051,Avoid facial cleansers containing harsh chemicals which irritate and weaken the protective barrier of skin. Use natural cleansers.,0
1026,"40billion:   a well written, thought-provoking & mind illuminating book to unite, connect & save humanity â€¦",0
793,Hopelessness is the enemy of .  prevails where  persists. â€” Bryan Stevenson,0
1337,"This can't be right, being back at work so soon ",0
2795,never had a dull moment with u guys 💕,0
1755,My dad *beating my mom*  Me in the other room trying to distract my siblings so they can't  hear my mom crying:  pic.twitter.com/oJDoPee3AB,1
288, -The moment you realize that they're still making country music.,0
1218,Gosh I needed this to lift me up!  was getting me down  pic.twitter.com/aKXO9rDvom,1
2511,  another great talent lost to us. songs stay with us forever. Odd but last Christmas playing everywhere this yr.,0
1531,"I could 😭 rn I am so blessed with the friends I have, they support and love me through everything and I couldn't thank them enough 😭❤️",0
2625,"In Quebec City, family went to a chocolate store, and spent way to long in there. I wanted to leave because the girl behind the cash register was so damn beautiful. The longer I spent in there the more painful it was.  ",0
23,Very sad day in Edmonton!  Praying for all who lost their lives.  ,1
2437,'I think our dreams can motivate us more than our fears can paralyze us.'  ~  Chris Hogan  #dreams #fears #life,0
1203,@ButUCanCallMeZ I always wondered your feelings on this and I'm so glad to hear it. 😊,0
1157,Now that I've seen all of the The Lord Of the Rings movies I have nothing to look forward to... ,0
2715,@Jo_Caulfield Great GIF! #joyful,0
1000,Who's Your Cat Daddy!?\n\n#cats #love #instagood #photooftheday #beautiful #cute #happy #fashion #follo ...,0
2371,"Why does certain things happen? What can be done to change this? Questions, are the worse.   ",1
813," the road to recovery is a long and winding road that, may or may not actually be conquered. Try or die trying ",0
771,#31DaysOfJoy Laughter brings me so much joy! It's good for the ❤️. #laughter #laughterishealing #laughterisgoodforthesoul,0
2200,"I hate when my sisters…say… ""I'm going kill myself"" Ugh so fucking triggering…   ",0
220,"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸",0
2933,"Do you ever fall asleep before you set your alarm, but then the Lord wakes you up on time anyways 🙌🏻 #WontHeDoIt",0
1558,"It's sucks when you don't know what is wrong, but you know something is wrong. .   ",1
252,@mrosenbaum711 Happy Birthday 🎈🎊🎁 Have an awesome filled day of awesomeness.,0
1987,haven't been on Twitter all day. ,1
167,Why it's simple to just stop texting,1
2331,RT StayYoungMedia Cure your  without the harmful side effects of  … pic.twitter.com/QZzAgrOZbb,0
2695,West side story was literally the worst movie I have ever seen... Why do people like it??? ,0
1149,User of  unable to think clearly or retain that was learned & will probably be quite . He may suffer periods of .,0
1418,Back to work like nothing ever happened ,1
2573,Travelling state of mind.     pic.twitter.com/3xKR0fgmET,0
965,"Everything seems wrong and I don't know what to do anymore, it's just so hard   ",1
1784,Beautiful morning at the beach on Anna Maria Island with my wife. #vacation #blessed #happy,0
2683,I'm in desperate need of a good hug and a hot cup of coffee. I have no one here to hug me right now and no coffee maker at all.,1
1724,Welcome new followers @GibbonWa @Halmarun @CleanFaceSkin We will mostly be talking #happiness &amp; #ethicalfashion Happy to connect :),0
1024,"I don't want to be here anymore, and nobody would care if i did go, so why am I still here?   ",1
2409,World is crumbling around me but hey...2017 is nearly here...that should fix everything!! Haha yeah right :/  ,0
2938,#Sleep is my #drug. My bed is my dealer. My #alarm is the #cops. #School is the #jail. #TeamFollowBack,0
2124,Just finished playing Mystic Messenger. And I didnt expect the amount of angst in it! 〒▽〒\n #mysticmessenger #feels ,0
1913,"I've struggled to figure out how lightning works, but then it struck me.        #laughing #lol",0
2661,@DavidLammy This kind of abuse is UNBELIEVABLE and an absolute disgrace. It makes me sad to see this #dismayed,1
1676,talked about suicidal ideation with a friend last night.she confessed to having a plan of jumping off a bridge.I had no idea.,1
2094,TARED tabby abaci rabid each dabs,0
1005,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",0
372,It creeps up on you    ,1
2702,Uncharted 4 on Crushing is the least fun I've ever ha splaying a video game  ,0
946,125   ?????????????????   ?????????????????????ww   ????????????????????????w??????????????????????????????????????????????   ????????????????????????????????????????????????????????????????????????ww   ?????????????????????????.......    ????????????????????   ??????????????????????????????????????????????w  pic.twitter.com/4EQO8kFgbo,0
61,2 more weeks! 😮😊  #painfree,0
2387,"EAHelp: mcmalveiro Hi Miguel, that's awesome! Thank you very much for updating us! 😄 -Claire",0
1646,@ian_beckett Have the most wonderful day Ian. ,0
3133,We were going to bdubs today but not anymore  cacacaca,0
791,#My #Mind is free of all aspects of #fear and #pain &amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet,0
2884,Before you diagnose yourself as  make sure your not surrounded by assholes - William Gibson,0
1459,"I feel like I broke myself. I feel fractured and tired and I can't stop blaming myself like a broken record. I'm finding it so difficult to just survive, but I am surviving and so are you. I guess we can do this   ",1
531,Welcome to our new follower @RahmanAccess Have a #wonderful Tuesday!,0
1548,Spread smiles around everywhere you go\n#spreadingsmiles #smiles #healtyliving #LaughOutLoud #happinessallaround,0
1176,"“I am very sad and I feel more miserable than I can say, and I do not know how far I’ve come. I do not know what to do or what to think.”",1
92,I am not even a nobody to anyone,1
1387,"I didn't think it was your job to fix ""Poverty"". I think that if you and  were to  there would be a lot less  in the neighborhoods.",0
672,I'm  the same way the Jews were depressed right before they LEFT  !!!,1
2092,@miracles_J yaaay finally brave enought to comment on their vlive 😅,0
1294,I'm really kinda missing the poms team???”???­??’• ,0
347,"I was deeply struck with her very presence,expressions &amp; soul-penetrating performance.I was lost in her #bliss #NinnuKori  @i_nivethathomas",0
2161,"I seriously need to stay off Pinterest, I want to try too many things and my bank account just wont let me ???¢   .",0
1772,Well I've made the step towards a better 2015 by admitting I need help ,1
1986,A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,0
1146,"yeah, external power structures, and there for, ultimately, about 500L, but I'm guessing it would be more like ",0
891,"Christmas means ""Love Actually"" for me.    ??¥ƒ??’”???­",0
345,Pray for all communities and individuals facing mental health crises.  ,0
1536,Temp dropped ...sky dark n our birds went crazy in #pdx we enjoyed #SolarEclipse2017 #amazing,0
2827,Reading and watching the fault in our stars in the space of a week wasn't the best idea  ??????Œ ,0
191,"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1
2022,I'm extra lazy today 😟,0
1675,Right b4 Christmas & bf breaks the news he's not taking me 2  for my birthday,0
1354,"@SaidTheSky @DasEnergiFest @mitchell_thayne Bro, you should be #smiling you're bring all of us smiles. Share the experience #together",0
1414,"The  lost the , seats in both House and Senate, in votes by the people. Clearly rejecting this notion of .",0
2516,â™?Watch Me - ANOHNI   ,0
1360,Thank God for grace ,0
1704,@MerkTheWorld This thread is hilarious!!!!,0
1192,Don't let a #Season of #Sorrow turn into a lifetime of #bitterness ~ #FearfullyMade #GracefullySaved,0
312,@KerryKatona7 Stunner cute like her mum 😃,0
913,The amount ae fucking spots I have right now honestly makes me wanty cry  ???­???­,1
1663,Too much niggas knew where my mum lived so we moved her out 😊 definitely one of the best feelings recently lol,0
1690,just so depressed anymore ????????    pic.twitter.com/rcv1I6pAk7,0
1262,No more Twitter for tonight... Today is officially my birthday.. and I wish I was dead... ????????    pic.twitter.com/t1TP7HcFJr,1
1405,"""Worrying does not empty tomorrow of its troubles, it empties today of its strength.""    ",0
618,"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ",1
2391,"@BuffettSongs 'life is so spicy up on bar-b-q hill.....looking good, you look so fine' #soveryfine #wow #:)",0
1550,It really needs to start snowing,1
1481,Been left and grandma's house want to see mummy and daddy   ,1
330,So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1
1207,I always get  between Dec. 26 and . And really on into January. ?,0
2721,"After reading about  in academia, I feel like secretly hanging up some posters about the topic around my old university ...",0
2073,Balling my eyes out because I only have 3 days left with Zachary and I work....????,1
831,I'm screaming in the inside and I don't know how to make it stop   pic.twitter.com/q1rzFILkWE,1
2160,Gotta do my best today and keep my happiness on and not let anything bring me down... big day today 💖🤘☇ #stoked ,0
483,Make her burst into laughter bcs of you.,0
1122,Just #snorted #laughing @CommunityTV #outtakes @donaldglover @dannypudi #hilarious Best duo ever! @community,0
2217,Idk how I’m gonna be able to go to lover I have to buy tickets with my own money and I’m literally broke,1
1947,I'm actually not  for once. I'm going into  as a new me. I hope anyhow. ,0
2294,Full of #optimism after the FP Summit yesterday. Thanks to @melindagates @FP2020Global @UNFPA and @DFID_UK we're thinking about #HerFuture,0
221,I can tell by the end of the night I'm gonna cut my arm  ,1
1074,@Hayles_101 Delaney keeping up his awesome Manchester United transfer record...\n\n😂,0
600,@AsfandKhan6 Glad it went well 😄,0
2722,Why the hell is no one around when I need them,1
1672,@crimemma congratulations on becoming a senior lecturer! Well deserved 😄,0
1698,"First breakdown at work ),: more to come ill bet money on it ",1
2446,"@ghibIiyoongi happy birthday love!! 🎉🎁 i hope you're having the best day, i'm glad we met💕",0
2910," Working on Pill for ... Making something for the millennials, eh? Who can stand the little smug self-satisfied snots!",0
2214,When you repress your emotions so much it takes days to figure out you're not just being tired and lazy ,0
2458,I make nebulizer look sexy #DarthVader #breathless #sexy #nebulizer #girl,0
1529,"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. ",0
2723,@joerogan I looked at the eclipse without glasses and now I have x-ray vision! #awesomeness,0
2999,I dreamt my barber was sick on haircut day bro.. i lost weight in my sleep ???­???­   pic.twitter.com/Utaiw8JShW,0
677,"Ground control to Captain Tom, eclipse was mind blowing #solareclipse2017 ",0
549,I gotta get dressed for work now  ???­???­???­,0
2586,I just wanna stay up all night play FFXV and not go to work tomorrow.. ,0
2563,"Squad of donkeys, managed by an idiot, owned by a C***. Down + Out before we get to 2016  ",0
2552," 17% of older people are in contact with family, friends and neighbours less than once a week and 11% are in contact less than once a month.   pic.twitter.com/RoNJVWr7m4",0
15,"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",0
2359,"comment: ""I've had tough times but I would never consider ""  this is stigma this is ignorance    ANYONE pic.twitter.com/yjJOgmHM3D",1
767,Who will help me to be a Millionaire? #business #small_business #Millionaire #start_small_business #money #start #my #business\n:);),0
1525,"Infact if you keenly observe all religion haters, community haters are currently down with depression attack.",0
458,Rt if you're a depression or Ed acc.  Follow everyone who RT's this!  I will too! Ready? GO!,0
1832,"All up in my  feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",1
996,"Chanyeol always cheering, he'll claps loudly and very happy when talks about something funny",0
1353,So tired to blend in ??â–½?‹    pic.twitter.com/S71Lb5dNeo,1
2713,Publicity before Christmas about loneliness. How many loneliness projects were open on Christmas day I wonder?  ,0
725,I start my lpn program this October 😌 #blessed,0
832,Life can be so lonely sometimes.,1
2668,Before pictures of the Fortress of Solitude because I have been so   pic.twitter.com/kejJRCyF9L,0
1568,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,0
2220,A.M. choice if you're mentally well: What clothes should I wear? A.M. choice if you're : What mask should I wear? ,0
2047,And so she drinks to numb the pain away because it's easier this way. This way she has control.  ,0
181,Ot6 still exist? #julid #deletesoon ,0
2259,"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable... ???°???°???°???©",0
539,"Finally its time, i have a cuppa n its time to watch what i already know will be an epic ep of Game of Thrones #bliss",0
1346,@jeonahjumma dont worry abt it bb,0
2443, therapy could be an effective option for treating  in adolescents.  pic.twitter.com/Dqo97PbLfn,0
3009,Music is just my best friend…fix everything I guess…,0
2816,Social connections are important throughout our lives!     pic.twitter.com/cTBXNnn3IL,0
1977,I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow,0
1714,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",0
1943,"Another cup of coffee with cookies and smart, intelligent, brilliant ,the best  #attorneysatlaw . What can I do? God made us! #happy",0
1808,I luv the fact how I feel so alone :'( life sucks ass I love them and I luv how family is supposed to be here 4 you well fuck it  ,1
1519,Is it weird that my  and   turns bad when it comes to  ?,1
1520,"It's as though being with her is depressing, but when we break up it lifts and I go back to the source of the . Hmm.",1
1650,"People come and go, but life is simply about seeing who cares enough to stay. ",0
988,All I want for Christmas is my daughters to come home ?? is that to much,1
2526,@VarunsPrincess_ Huhh It's awesome 😍\nI'm obsessed with it 😍😂,0
907,If you are struggling with   this festive season. We are open 24/7 to offer . Call 0800 132 737. pw,0
1051,"Hon. Miss Dashwood, whose manners very pretty face, she offended you have done before.",0
2626,Had a total meltdown on the way home from dinner.  ,1
1877,Another big game day for @FootballSask at the Canada Cup. Next up Ontario. Go get them boys! We'll be cheering you on #306Football #Sask,0
2238,Rewatching RKellys trapped in a closet series 😂😂😂 #classic #hilarious,0
1682,Well that was lovely.   Checked church Facebook page and I've been given a five star review for Sats wedding. #bashful ,0
1754,Its hard to fix my life when I'm surrounded by negativity 24/7.... ,1
3086,"Im  home . Feeling very low, and unwanted especially by my own family.Feeling very  !!",1
1716,"@Liz_Hanbury Oh no, jumper on again, has it turned colder? 😟 Have a terrific day🙋🏼🌸🌼🌻💕💕",0
1243,I feel so   and a tad  but I'm afraid to call a friend :(,1
1597,"Ever reach a point in your life when you realize you'll be broke in a couple years, and you just feel like IF MY BIG BREAK IS COMING, PLEASE LET IT BE NOW?   ",1
707,No haircut today ???«    Work in a bit  smh,1
2287,You try hard to forget the person whom you loved more than yourself.    pic.twitter.com/SzLSq8MsNQ,0
2791,McGregor is a clown 😂😂😂 #hilarious #MayweatherVsMcGregor,0
943,New years eve smh I wish I could take it back I miss u so ur smile ur laugh I want it all back but I cnt   ,0
1880,: 1 in 4  businesses are forced out of business because of the ongoing Economic,0
2872,"Darkness won't fade. It envelopes you, crawls under your skin. It stays and never seems to leave.   ",1
2131," and hell are exactly alike, except sometimes you get brief respites in hell.",0
3001,"Came up here, a new life, after the last divorce and a year of being in pain. Slowly dissipated, but it's never gone. I've been abandoned again. Lost. Taken away from happiness. But I sure hope Debbie, if there is another world, a heaven, that she's in it. ",1
461,Didnt find out until later. Ths is the LAST burger I'll eat frm Four Winds in GA. They closed for good...   pic.twitter.com/TrA5cuVqyk,0
2843,Halloweentown was my fave Halloween movie.   :'),0
1391,No! No! No!!!    pic.twitter.com/vpoZSMSbXL,0
1865,Feeling so UnLucky in life..   ??,1
2741,"Hope everyone has a good New Years tonight, coz mines gonna be shit!   ",1
1540,"Happy New Year to you all! Remember the power to make it/you, a happy one, is in yourself  ",0
224,'A #pessimist sees the difficulty in every #opportunity; an #optimist sees the opportunity in every difficulty.' —Winston Churchill #quote,0
429,"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? ",1
2529,"I almost died when i was a baby because i was in the womb for an additional month, i went  while in the womb and it burned my skin, went in my mouth and i stewed in it for a while. I had to be rushed to NICU and they put tubes in me. Sometimes i wish i didnt make it ",1
852,"Not the  I know or grew up in. This is, the brutal reality of honest people & honest officials in state.   pic.twitter.com/eZmQpzAOBr",0
3194,Depression is like wearing a one of those weighted blankets- makes it feel real good to lay in bed for 16 hours but also makes it pretty exhausting to do anything outside of that,1
283,Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,0
2157,"#AI #revolation, soon is possible!\n #fearless  #good #goodness",0
2402,"@hyde_myself Yes, Mom. That's my alarm XD",0
1050,nobody knows it’s my birthday am so depressed,0
1150,I really hate movies about relationships. ,0
2919,"@inseopirit LOL, I never got to that part actually :) ICSYV is a great show, isn't it? Tears and laughter.",0
2831,Wake me up in March.,1
